CompN,EM,nuM,EF,nuF,Vf,E1,E2,E3,v12,v23,G12,G13,G23 
50,2.979560269797336,0.386784034708613,252.0000279635895,0.3362065287180782,0.1097134256134764,30.301578898505,4.1287239021573,4.1282360373193,0.38003558319958,0.58262249420846,2.6944403194383,2.6894942903827,2.6152691634292
51,1.4514955749034404,0.3664323780254516,247.03752521094,0.3326686289533677,0.1098418404556655,28.427393276835,1.9917586141574,1.9937406760043,0.3618221116841,0.54866228212944,1.3335836895716,1.333198712919,1.2918995990633
52,1.9992958703081696,0.3793349150487108,844.7357135012074,0.1515694848077869,0.1100939741108729,94.794911495888,2.7944320931282,2.8015839743437,0.34925031988341,0.58866420300306,1.8139294685892,1.82564816933,1.7667172644217
53,3.861091693456485,0.3940754669956095,973.5455152025831,0.3000380130358239,0.1102397224060282,110.76385896007,5.5040118140693,5.4908612860572,0.38137816508715,0.62098144183956,3.4863332458285,3.4695712649597,3.3681392078796
54,1.4531417069291288,0.3982657900192431,504.3888384981729,0.2244521404055016,0.1103325526226433,56.950111012618,2.0705844777109,2.0751853508527,0.37573504728226,0.63654870979339,1.3077473511689,1.3137358603584,1.2807854473883
55,3.983222665958599,0.3641866033780057,123.35008010283764,0.2420637594471155,0.11043022825741,17.173844706671,5.2455672394047,5.2827867401894,0.34836969715219,0.4977432748522,3.6015272703027,3.6539082532893,3.5161855950582
56,2.4176322908693137,0.3704527506567455,382.0292555576414,0.3340124967761276,0.1108041190163901,44.480571402262,3.3373451199035,3.3353273172265,0.36541298103125,0.55706089060323,2.2179208968363,2.2155471739954,2.1418479778558
57,2.80024590196419,0.3642429969545271,603.4772153510174,0.1827643668622957,0.1110431250048069,69.515638265013,3.8696115499642,3.8682344435916,0.3388129212808,0.54640512878676,2.590074489178,2.5887619574871,2.4939452547487
58,4.599185292870371,0.366229096357545,613.1466426898749,0.3333930448852341,0.1111504861742805,72.240246750459,6.3142501790209,6.3353655302464,0.361787503513,0.54255519609888,4.2126644041548,4.2418308622497,4.0828256606107
59,3.791393588508051,0.3781926221724178,754.1435819188698,0.2303434449639983,0.1114600564679017,87.437735637576,5.3032213518878,5.2861954187258,0.35761865189779,0.57954005959053,3.4619976188494,3.4381818417793,3.3446256636361
60,3.0707307332571494,0.3836105975789108,773.6025065096944,0.191088761575318,0.1115520548047422,89.042219462252,4.343178365274,4.3376403162745,0.35723930954002,0.59383894635043,2.7978333353614,2.7886938732852,2.6936718245299
